PM2.5,PM10,SO2,NO2,loc
9,9,3,17,Dongsi
4,4,3,16,Dongsi
7,7,3,17,Dongsi
3,3,5,18,Dongsi
3,3,7,20,Dongsi
4,4,9,25,Dongsi
5,5,10,29,Dongsi
3,6,12,40,Dongsi
3,6,12,41,Dongsi
3,6,9,31,Dongsi
3,6,7,19,Dongsi
6,6,7,19,Dongsi
3,6,6,18,Dongsi
3,6,5,16,Dongsi
3,6,5,16,Dongsi
3,10,5,17,Dongsi
9,17,6,19,Dongsi
9,22,9,21,Dongsi
11,23,8,28,Dongsi
13,17,12,42,Dongsi
5,13,9,38,Dongsi
15,17,13,51,Dongsi
19,21,17,60,Dongsi
8,14,16,58,Dongsi
4,11,11,45,Dongsi
3,6,11,43,Dongsi
3,6,10,36,Dongsi
3,6,11,41,Dongsi
3,6,9,31,Dongsi
9,9,10,32,Dongsi
3,6,15,59,Dongsi
13,13,14,45,Dongsi
3,6,19,48,Dongsi
3,6,24,49,Dongsi
3,7,24,55,Dongsi
4,14,18,54,Dongsi
17,22,18,61,Dongsi
23,29,19,54,Dongsi
32,34,18,48,Dongsi
35,37,25,49,Dongsi
42,52,43,60,Dongsi
54,69,41,62,Dongsi
56,82,43,63,Dongsi
63,92,45,72,Dongsi
71,98,46,80,Dongsi
79,111,61,95,Dongsi
98,121,71,112,Dongsi
108,131,73,110,Dongsi
115,141,70,111,Dongsi
127,152,65,109,Dongsi
132,151,64,107,Dongsi
124,133,83,104,Dongsi
112,118,92,105,Dongsi
101,107,74,99,Dongsi
88,105,80,94,Dongsi
98,113,82,100,Dongsi
97,124,79,95,Dongsi
95,115,102,95,Dongsi
91,112,102,98,Dongsi
98,123,83,104,Dongsi
107,134,70,111,Dongsi
114,130,43,85,Dongsi
81,104,19,46,Dongsi
49,80,7,17,Dongsi
28,66,14,33,Dongsi
41,106,24,60,Dongsi
58,106,26,74,Dongsi
87,212,58,127,Dongsi
142,274,56,136,Dongsi
152,202,45,122,Dongsi
143,149,29,107,Dongsi
80,101,32,104,Dongsi
68,110,46,109,Dongsi
61,89,21,58,Dongsi
43,48,6.2832,20.1194,Dongsi
13,19,3,14,Dongsi
6,13,8,28,Dongsi
7,19,13,48,Dongsi
9,23,18,61,Dongsi
10,31,26,82,Dongsi
11,34,27,76,Dongsi
15,25,18,40,Dongsi
3,7,14,30,Dongsi
13,15,12,25,Dongsi
13,20,10,21,Dongsi
3,9,6,18,Dongsi
3,6,6,18,Dongsi
4,10,6,23,Dongsi
18,18,9,31,Dongsi
17,24,8,33,Dongsi
20,29,9,35,Dongsi
31,60,13,53,Dongsi
39,86,19,68,Dongsi
51,93,28,75,Dongsi
59,98,24,86,Dongsi
66,95,46,92,Dongsi
74,96,60,84,Dongsi
89,116,64,76,Dongsi
95,133,67,71,Dongsi
104,136,71,78,Dongsi
3,6,13,7,Changping
3,3,6,6,Changping
3,3,22,13,Changping
3,6,12,8,Changping
3,3,14,8,Changping
3,3,10,17,Changping
4,6,12,22,Changping
3,6,25,39,Changping
9,25,13,42,Changping
11,29,5,18,Changping
9,10,3,10,Changping
3,3,4,9,Changping
3,6,4,8,Changping
3,101,5,9,Changping
9,60,5,6,Changping
3,34,6,7,Changping
3,28,5,9,Changping
6,25,19,12,Changping
4,17,40,22,Changping
7,19,37,22,Changping
8,21,23,14,Changping
7,16,34,19,Changping
5,13,25,16,Changping
7,12,43,25,Changping
11,13,23,16,Changping
12,10,24,18,Changping
13,9,23,56,Changping
14,24,23,42,Changping
14,18,24,52,Changping
13,13,37,57,Changping
16,15,38,66,Changping
19,25,39,63,Changping
22,26,41,66,Changping
29,43,53,69,Changping
46,70,40,54,Changping
30,33,40,61,Changping
31,41,42,51,Changping
30,34,42,50,Changping
30,32,50,59,Changping
38,41,49,58,Changping
42,49,49,62,Changping
44,50,50,66,Changping
44,55,50,73,Changping
47,60,34,76,Changping
52,65,43,84,Changping
69,76,51,82,Changping
72,83,49,82,Changping
62,71,68,87,Changping
73,87,41,76,Changping
50,60,36,73,Changping
60,62,37,75,Changping
60,63,41,74,Changping
64,66,31,69,Changping
56,58,34,71,Changping
53,59,24,68,Changping
52,62,25,68,Changping
58,75,51,71,Changping
81,106,69,72,Changping
84,101,78,84,Changping
106,148,91,93,Changping
110,135,78,89,Changping
113,151,64,80,Changping
100,151,36,53,Changping
68,128,14,20,Changping
32,90,10,16,Changping
21,71,27,21,Changping
16,33,17,22,Changping
18,43,12,35,Changping
24,56,27,46,Changping
29,55,27,42,Changping
23,46,25,69,Changping
30,78,14,24,Changping
25,42,30,22,Changping
16,38,24,13,Changping
8,31,29,14,Changping
6,20,4,10,Changping
7,13,3,10,Changping
3,14,31,46,Changping
10,24,43,43,Changping
12,28,38,38,Changping
12,32,29,34,Changping
16,29,21,19,Changping
14,23,16,12,Changping
7,16,7,11,Changping
8,22,6,9,Changping
14,16,7,9,Changping
11,13,14,11,Changping
21,24,11,10,Changping
10,17,10,12,Changping
13,15,8,21,Changping
17,29,14,40,Changping
32,54,39,63,Changping
43,71,66,91,Changping
64,99,41,88,Changping
76,123,25,57,Changping
54,75,21,43,Changping
57,69,20,37,Changping
48,57,38,66,Changping
65,99,32,54,Changping
60,75,20,36,Changping
3,6,3,8,Shunyi
12,12,3,7,Shunyi
14,14,4,7,Shunyi
12,12,3,5,Shunyi
12,12,3,6,Shunyi
11,11,3,7,Shunyi
12,12,3,9,Shunyi
13,13,3,23,Shunyi
8,8,3,19,Shunyi
3,6,3,21,Shunyi
3,6,3,22,Shunyi
6,6,3,16,Shunyi
8,8,3,12,Shunyi
5,5,3,9,Shunyi
5,5,3,10,Shunyi
8,8,3,11,Shunyi
7,7,3,12,Shunyi
10,10,3,12,Shunyi
3,6,3,18,Shunyi
3,8,3,21,Shunyi
13,13,3,17,Shunyi
9,14,3,14,Shunyi
5,11,3,11,Shunyi
9,11,3,8,Shunyi
5,7,3,8,Shunyi
3,6,3,8,Shunyi
4,4,3,8,Shunyi
8,8,3,8,Shunyi
6,6,3,8,Shunyi
6,6,9,31,Shunyi
4,6,13,33,Shunyi
13,8,12,31,Shunyi
12,12,8,31,Shunyi
12,10,20,54,Shunyi
26,35,18,39,Shunyi
18,32,15,26,Shunyi
19,22,17,45,Shunyi
12,14,15,60,Shunyi
18,23,21,67,Shunyi
32,34,22,66,Shunyi
43,47,24,68,Shunyi
49,55,23,61,Shunyi
38,51,23,61,Shunyi
52,54,26,76,Shunyi
69,82,35,87,Shunyi
96,104,53,90,Shunyi
108,123,46,88,Shunyi
130,136,70,88,Shunyi
125,153,45,85,Shunyi
96,118,40,81,Shunyi
84,92,42,84,Shunyi
80,90,25,85,Shunyi
81,92,11,82,Shunyi
120,106,10,76,Shunyi
88,108,10,73,Shunyi
92,97,8,67,Shunyi
113,122,23,65,Shunyi
99,114,67,62,Shunyi
88,95,66,61,Shunyi
85,92,61,65,Shunyi
95,106,60,73,Shunyi
109,123,58,84,Shunyi
99,114,48,78,Shunyi
70,107,28,64,Shunyi
45,96,23,42,Shunyi
41,73,15,34,Shunyi
42,67,10,36,Shunyi
39,66,11,49,Shunyi
26,67,25,63,Shunyi
34,64,20,60,Shunyi
47,68,16,44,Shunyi
38,55,19,54,Shunyi
32,55,35,55,Shunyi
39,54,18,32,Shunyi
30,50,9,15,Shunyi
16,26,13,13,Shunyi
3,8,12,16,Shunyi
3,8,5,11,Shunyi
3,9,6,22,Shunyi
9,14,15,53,Shunyi
11,21,15,67,Shunyi
15,33,13,32,Shunyi
10,14,6,19,Shunyi
3,9,6,17,Shunyi
3,7,5,15,Shunyi
5,8,6,18,Shunyi
3,9,8,19,Shunyi
3,6,8,19,Shunyi
13,8,8,21,Shunyi
8,10,10,32,Shunyi
18,28,7,55,Shunyi
25,47,8,91,Shunyi
37,60,15,103,Shunyi
52,84,24,104,Shunyi
63,97,30,107,Shunyi
72,103,32,103,Shunyi
80,100,32,96,Shunyi
82,100,28,90,Shunyi
93,106,12,5,Shunyi
98,116,5,4,Shunyi
6,6,4,8,Tiantan
6,29,5,9,Tiantan
6,6,4,12,Tiantan
6,6,4,12,Tiantan
5,5,7,15,Tiantan
10,10,12,15,Tiantan
8,19,12,14,Tiantan
7,7,12,19,Tiantan
3,6,14,29,Tiantan
8,2,11,22,Tiantan
9,9,8,17,Tiantan
9,23,8,16,Tiantan
9,19,7,16,Tiantan
10,34,7,12,Tiantan
10,19,6,12,Tiantan
3,6,6,15,Tiantan
8,22,7,14,Tiantan
10,28,9,21,Tiantan
11,21,10,28,Tiantan
12,4,7,39,Tiantan
12,16,8,30,Tiantan
12,17,13,43,Tiantan
12,16,15,48,Tiantan
15,17,17,52,Tiantan
16,17,10,33,Tiantan
3,10,10,27,Tiantan
4,8,9,25,Tiantan
9,10,8,26,Tiantan
3,8,7,25,Tiantan
6,10,10,26,Tiantan
5,8,11,37,Tiantan
3,6,15,61,Tiantan
12,15,15,54,Tiantan
13,20,19,60,Tiantan
18,23,22,60,Tiantan
16,22,21,64,Tiantan
26,34,26,58,Tiantan
27,34,24,44,Tiantan
35,40,24,35,Tiantan
35,38,48,45,Tiantan
48,58,52,49,Tiantan
56,64,49,46,Tiantan
49,52,52,51,Tiantan
64,70,43,55,Tiantan
63,75,44,72,Tiantan
73,82,40,78,Tiantan
79,79,36,76,Tiantan
98,106,39,79,Tiantan
84,97,39,80,Tiantan
85,93,54,83,Tiantan
110,119,68,87,Tiantan
112,119,89,86,Tiantan
113,123,82,83,Tiantan
84,104,37,72,Tiantan
77,86,27,69,Tiantan
73,78,21,67,Tiantan
74,81,41,70,Tiantan
90,108,100,82,Tiantan
96,97,103,90,Tiantan
96,106,101,100,Tiantan
105,127,91,110,Tiantan
114,124,56,97,Tiantan
92,96,46,92,Tiantan
102,137,44,65,Tiantan
98,144,28,47,Tiantan
77,130,33,57,Tiantan
84,139,60,90,Tiantan
128,207,61,109,Tiantan
141,205,54,104,Tiantan
142,186,42,98,Tiantan
107,110,30,76,Tiantan
69,96,28,77,Tiantan
44,50,35,84,Tiantan
52,79,29,62,Tiantan
11,20,6,17,Tiantan
13,40,3,10,Tiantan
6,30,8,22,Tiantan
7,22,15,39,Tiantan
9,36,22,49,Tiantan
10,28,25,57,Tiantan
14,46,28,67,Tiantan
21,32,26,51,Tiantan
20,27,13,33,Tiantan
13,18,13,30,Tiantan
16,27,11,28,Tiantan
14,24,8,24,Tiantan
16,18,8,20,Tiantan
5,11,8,27,Tiantan
15,19,10,27,Tiantan
17,27,8,25,Tiantan
22,29,10,29,Tiantan
25,42,13,44,Tiantan
31,62,18,57,Tiantan
44,63,20,55,Tiantan
53,73,24,69,Tiantan
58,79,37,83,Tiantan
71,75,53,58,Tiantan
76,96,82,56,Tiantan
98,116,70,59,Tiantan
100,117,71,68,Tiantan